[-1479, -4, 0, 1, 0]   {'Q': 0, '1': 41, 'W': 0, '2': 0, 'E': 0, '3': 0, 'R': 0, '4': 0, 'T': 0, '5': 0}
[-1482, 5, 0, 0, 1]   {'Q': 0, '1': 41, 'W': 0, '2': 0, 'E': 0, '3': 0, 'R': 0, '4': 0, 'T': 0, '5': 0}
[-1481, -3, 0, 1, -1]   {'Q': 0, '1': 41, 'W': 0, '2': 0, 'E': 0, '3': 0, 'R': 0, '4': 0, 'T': 0, '5': 0}
[-1480, 0, -1, -1, 0]   {'Q': 0, '1': 41, 'W': 0, '2': 0, 'E': 0, '3': 0, 'R': 0, '4': 0, 'T': 0, '5': 0}
[-1481, 0, 0, 0, 0]   {'Q': 0, '1': 41, 'W': 0, '2': 0, 'E': 0, '3': 0, 'R': 0, '4': 0, 'T': 0, '5': 0}
[-1480, 1, 0, -2, 1]   {'Q': 0, '1': 41, 'W': 0, '2': 0, 'E': 0, '3': 0, 'R': 0, '4': 0, 'T': 0, '5': 0}
[0, 0, 0, -2960, -1]   {'Q': 0, '1': 0, 'W': 0, '2': 0, 'E': 0, '3': 0, 'R': 41, '4': 0, 'T': 0, '5': 0}
[0, 0, 0, 1, -1480]   {'Q': 0, '1': 0, 'W': 0, '2': 0, 'E': 0, '3': 0, 'R': 0, '4': 0, 'T': 0, '5': 41}
[0, 0, 1477, 0, 0]   {'Q': 0, '1': 0, 'W': 0, '2': 0, 'E': 0, '3': 41, 'R': 0, '4': 0, 'T': 0, '5': 0}
[1480, -2, 211, 0, 0]   {'Q': 41, '1': 0, 'W': 0, '2': 40, 'E': 0, '3': 1, 'R': 0, '4': 0, 'T': 0, '5': 0}
[0, -851, 5, -423, 0]   {'Q': 4, '1': 5, 'W': 0, '2': 35, 'E': 0, '3': 0, 'R': 15, '4': 0, 'T': 0, '5': 17}
[0, -1474, 0, -1, -1]   {'Q': 0, '1': 0, 'W': 0, '2': 41, 'E': 0, '3': 0, 'R': 0, '4': 0, 'T': 0, '5': 0}
[0, 1, 1482, 2, 1]   {'Q': 0, '1': 0, 'W': 0, '2': 0, 'E': 0, '3': 41, 'R': 0, '4': 0, 'T': 0, '5': 0}
[1, 0, 1477, -2, 0]   {'Q': 0, '1': 0, 'W': 0, '2': 0, 'E': 0, '3': 42, 'R': 0, '4': 0, 'T': 0, '5': 0}
[-1, -1, 1481, 2, 0]   {'Q': 0, '1': 0, 'W': 0, '2': 0, 'E': 0, '3': 42, 'R': 0, '4': 0, 'T': 0, '5': 0}
[0, 0, 1478, -1, 0]   {'Q': 0, '1': 0, 'W': 0, '2': 0, 'E': 0, '3': 42, 'R': 0, '4': 0, 'T': 0, '5': 0}
[0, 0, -1052, 0, -1]   {'Q': 0, '1': 0, 'W': 0, '2': 0, 'E': 41, '3': 1, 'R': 0, '4': 0, 'T': 0, '5': 0}
[1, 0, -1482, 1, 1]   {'Q': 0, '1': 0, 'W': 0, '2': 0, 'E': 42, '3': 0, 'R': 0, '4': 0, 'T': 0, '5': 0}
[-1, 0, -1480, -1, 0]   {'Q': 0, '1': 0, 'W': 0, '2': 0, 'E': 42, '3': 0, 'R': 0, '4': 0, 'T': 0, '5': 0}
[0, 0, -211, -2538, 0]   {'Q': 0, '1': 0, 'W': 0, '2': 0, 'E': 1, '3': 0, 'R': 41, '4': 0, 'T': 0, '5': 0}
